All Method Calls (6722)

<java.util.Collection; size[]; int; org.apache.commons.collections.BoundedFifoBuffer; BoundedFifoBuffer[java.util.Collection]; void; null; coll>
<java.util.HashMap; keySet[]; java.util.Set; org.apache.commons.collections.BeanMap; clone[]; java.lang.Object; iterator[]; readMethods>
<java.util.Iterator; hasNext[]; boolean; org.apache.commons.collections.BeanMap; clone[]; java.lang.Object; null; readableKeys>
<java.util.Iterator; next[]; java.lang.Object; org.apache.commons.collections.BeanMap; clone[]; java.lang.Object; null; readableKeys>
<org.apache.commons.collections.BeanMap; getWriteMethod[java.lang.Object]; java.lang.reflect.Method; org.apache.commons.collections.BeanMap; clone[]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; clone[]; java.lang.Object; null; newMap>
<org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; clone[]; java.lang.Object; null; this>
<java.util.Set; iterator[]; java.util.Iterator; org.apache.commons.collections.BeanMap; putAllWriteable[org.apache.commons.collections.BeanMap]; void; null; map.readMethods.keySet()>
<java.util.HashMap; keySet[]; java.util.Set; org.apache.commons.collections.BeanMap; putAllWriteable[org.apache.commons.collections.BeanMap]; void; iterator[]; map.readMethods>
<java.util.Iterator; hasNext[]; boolean; org.apache.commons.collections.BeanMap; putAllWriteable[org.apache.commons.collections.BeanMap]; void; null; readableKeys>
<java.util.Iterator; next[]; java.lang.Object; org.apache.commons.collections.BeanMap; putAllWriteable[org.apache.commons.collections.BeanMap]; void; null; readableKeys>
<org.apache.commons.collections.BeanMap; getWriteMethod[java.lang.Object]; java.lang.reflect.Method; org.apache.commons.collections.BeanMap; putAllWriteable[org.apache.commons.collections.BeanMap]; void; null; this>
<org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; putAllWriteable[org.apache.commons.collections.BeanMap]; void; null; this>
<org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; putAllWriteable[org.apache.commons.collections.BeanMap]; void; null; map>
<java.lang.Object; getClass[]; java.lang.Class<? extends java.lang.Object>; org.apache.commons.collections.BeanMap; clear[]; void; null; bean>
<java.lang.Class; newInstance[]; java.lang.Object; org.apache.commons.collections.BeanMap; clear[]; void; null; beanClass>
<org.apache.commons.collections.BeanMap; getReadMethod[java.lang.Object]; java.lang.reflect.Method; org.apache.commons.collections.BeanMap; containsKey[java.lang.Object]; boolean; null; this>
<org.apache.commons.collections.BeanMap; getReadMethod[java.lang.Object]; java.lang.reflect.Method; org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; null; this>
<java.lang.reflect.Method; invoke[java.lang.Object, java.lang.Object[]]; java.lang.Object; org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; null; method>
<org.apache.commons.collections.BeanMap; logWarn[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; logWarn[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; logWarn[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; logWarn[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; getWriteMethod[java.lang.Object]; java.lang.reflect.Method; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; this>
<java.lang.Class; getName[]; java.lang.String; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; bean.getClass()>
<java.lang.Object; getClass[]; java.lang.Class<? extends java.lang.Object>; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; getName[]; bean>
<org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; this>
<java.lang.reflect.Method; invoke[java.lang.Object, java.lang.Object[]]; java.lang.Object; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; method>
<org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; firePropertyChange[java.lang.Object, java.lang.Object, java.lang.Object]; void; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; logInfo[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; this>
<java.lang.Throwable; getMessage[]; java.lang.String; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; e>
<org.apache.commons.collections.BeanMap; logInfo[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; this>
<java.lang.Throwable; getMessage[]; java.lang.String; org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; null; e>
<java.util.HashMap; size[]; int; org.apache.commons.collections.BeanMap; size[]; int; null; readMethods>
<org.apache.commons.collections.set.UnmodifiableSet; decorate[java.util.Set]; java.util.Set; org.apache.commons.collections.BeanMap; keySet[]; java.util.Set; null; UnmodifiableSet>
<java.util.HashMap; keySet[]; java.util.Set; org.apache.commons.collections.BeanMap; keySet[]; java.util.Set; null; readMethods>
<org.apache.commons.collections.set.UnmodifiableSet; decorate[java.util.Set]; java.util.Set; org.apache.commons.collections.BeanMap; entrySet[]; java.util.Set; null; UnmodifiableSet>
<org.apache.commons.collections.BeanMap; entryIterator[]; java.util.Iterator; java.util.AbstractSet; iterator[]; java.util.Iterator; null; this>
<java.util.HashMap; size[]; int; java.util.AbstractSet; size[]; int; null; BeanMap.this.readMethods>
<java.util.HashMap; size[]; int; org.apache.commons.collections.BeanMap; values[]; java.util.Collection; null; readMethods>
<org.apache.commons.collections.BeanMap; valueIterator[]; java.util.Iterator; org.apache.commons.collections.BeanMap; values[]; java.util.Collection; null; this>
<java.util.Iterator; hasNext[]; boolean; org.apache.commons.collections.BeanMap; values[]; java.util.Collection; null; iter>
<java.util.ArrayList; add[java.lang.Object]; boolean; org.apache.commons.collections.BeanMap; values[]; java.util.Collection; null; answer>
<java.util.Iterator; next[]; java.lang.Object; org.apache.commons.collections.BeanMap; values[]; java.util.Collection; null; iter>
<org.apache.commons.collections.list.UnmodifiableList; decorate[java.util.List]; java.util.List; org.apache.commons.collections.BeanMap; values[]; java.util.Collection; null; UnmodifiableList>
<java.util.HashMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; getType[java.lang.String]; java.lang.Class; null; types>
<java.util.Set; iterator[]; java.util.Iterator; org.apache.commons.collections.BeanMap; keyIterator[]; java.util.Iterator; null; readMethods.keySet()>
<java.util.HashMap; keySet[]; java.util.Set; org.apache.commons.collections.BeanMap; keyIterator[]; java.util.Iterator; iterator[]; readMethods>
<org.apache.commons.collections.BeanMap; keyIterator[]; java.util.Iterator; org.apache.commons.collections.BeanMap; valueIterator[]; java.util.Iterator; null; this>
<java.util.Iterator; hasNext[]; boolean; java.lang.Object; hasNext[]; boolean; null; iter>
<java.util.Iterator; next[]; java.lang.Object; java.lang.Object; next[]; java.lang.Object; null; iter>
<org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; java.lang.Object; next[]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; keyIterator[]; java.util.Iterator; org.apache.commons.collections.BeanMap; entryIterator[]; java.util.Iterator; null; this>
<java.util.Iterator; hasNext[]; boolean; java.lang.Object; hasNext[]; boolean; null; iter>
<java.util.Iterator; next[]; java.lang.Object; java.lang.Object; next[]; java.lang.Object; null; iter>
<org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; java.lang.Object; next[]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; reinitialise[]; void; org.apache.commons.collections.BeanMap; setBean[java.lang.Object]; void; null; this>
<java.util.HashMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; getReadMethod[java.lang.String]; java.lang.reflect.Method; null; readMethods>
<java.util.HashMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; getWriteMethod[java.lang.String]; java.lang.reflect.Method; null; writeMethods>
<java.util.HashMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; getReadMethod[java.lang.Object]; java.lang.reflect.Method; null; readMethods>
<java.util.HashMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; getWriteMethod[java.lang.Object]; java.lang.reflect.Method; null; writeMethods>
<java.util.HashMap; clear[]; void; org.apache.commons.collections.BeanMap; reinitialise[]; void; null; readMethods>
<java.util.HashMap; clear[]; void; org.apache.commons.collections.BeanMap; reinitialise[]; void; null; writeMethods>
<java.util.HashMap; clear[]; void; org.apache.commons.collections.BeanMap; reinitialise[]; void; null; types>
<org.apache.commons.collections.BeanMap; initialise[]; void; org.apache.commons.collections.BeanMap; reinitialise[]; void; null; this>
<org.apache.commons.collections.BeanMap; getBean[]; java.lang.Object; org.apache.commons.collections.BeanMap; initialise[]; void; null; this>
<java.lang.Object; getClass[]; java.lang.Class<? extends java.lang.Object>; org.apache.commons.collections.BeanMap; initialise[]; void; null; getBean()>
<org.apache.commons.collections.BeanMap; getBean[]; java.lang.Object; org.apache.commons.collections.BeanMap; initialise[]; void; getClass[]; this>
<java.beans.Introspector; getBeanInfo[java.lang.Class<?>]; java.beans.BeanInfo; org.apache.commons.collections.BeanMap; initialise[]; void; null; Introspector>
<java.beans.BeanInfo; getPropertyDescriptors[]; java.beans.PropertyDescriptor[]; org.apache.commons.collections.BeanMap; initialise[]; void; null; beanInfo>
<java.beans.FeatureDescriptor; getName[]; java.lang.String; org.apache.commons.collections.BeanMap; initialise[]; void; null; propertyDescriptor>
<java.beans.PropertyDescriptor; getReadMethod[]; java.lang.reflect.Method; org.apache.commons.collections.BeanMap; initialise[]; void; null; propertyDescriptor>
<java.beans.PropertyDescriptor; getWriteMethod[]; java.lang.reflect.Method; org.apache.commons.collections.BeanMap; initialise[]; void; null; propertyDescriptor>
<java.beans.PropertyDescriptor; getPropertyType[]; java.lang.Class<?>; org.apache.commons.collections.BeanMap; initialise[]; void; null; propertyDescriptor>
<java.util.HashMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; initialise[]; void; null; readMethods>
<java.util.HashMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; initialise[]; void; null; writeMethods>
<java.util.HashMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; initialise[]; void; null; types>
<org.apache.commons.collections.BeanMap; logWarn[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; initialise[]; void; null; this>
<org.apache.commons.collections.keyvalue.AbstractKeyValue; getKey[]; java.lang.Object; org.apache.commons.collections.BeanMap.MyMapEntry; setValue[java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap.MyMapEntry; setValue[java.lang.Object]; java.lang.Object; null; owner>
<org.apache.commons.collections.BeanMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap.MyMapEntry; setValue[java.lang.Object]; java.lang.Object; null; owner>
<org.apache.commons.collections.BeanMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap.MyMapEntry; setValue[java.lang.Object]; java.lang.Object; null; owner>
<java.lang.reflect.Method; getParameterTypes[]; java.lang.Class<?>[]; org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; null; method>
<java.lang.Class; isAssignableFrom[java.lang.Class]; boolean; org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; null; paramType>
<java.lang.Object; getClass[]; java.lang.Class<? extends java.lang.Object>; org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; null; value>
<org.apache.commons.collections.BeanMap; convertType[java.lang.Class, java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; null; this>
<org.apache.commons.collections.BeanMap; logInfo[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; null; this>
<java.lang.Throwable; getMessage[]; java.lang.String; org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; null; e>
<org.apache.commons.collections.BeanMap; logInfo[java.lang.Exception]; void; org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; null; this>
<java.lang.Throwable; getMessage[]; java.lang.String; org.apache.commons.collections.BeanMap; createWriteMethodArguments[java.lang.reflect.Method, java.lang.Object]; java.lang.Object[]; null; e>
<java.lang.Object; getClass[]; java.lang.Class<? extends java.lang.Object>; org.apache.commons.collections.BeanMap; convertType[java.lang.Class, java.lang.Object]; java.lang.Object; null; value>
<java.lang.Class; getConstructor[java.lang.Class[]]; java.lang.reflect.Constructor; org.apache.commons.collections.BeanMap; convertType[java.lang.Class, java.lang.Object]; java.lang.Object; null; newType>
<java.lang.reflect.Constructor; newInstance[java.lang.Object[]]; java.lang.Object; org.apache.commons.collections.BeanMap; convertType[java.lang.Class, java.lang.Object]; java.lang.Object; null; constructor>
<org.apache.commons.collections.BeanMap; getTypeTransformer[java.lang.Class]; org.apache.commons.collections.Transformer; org.apache.commons.collections.BeanMap; convertType[java.lang.Class, java.lang.Object]; java.lang.Object; null; this>
<org.apache.commons.collections.Transformer; transform[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; convertType[java.lang.Class, java.lang.Object]; java.lang.Object; null; transformer>
<java.util.HashMap; get[java.lang.Object]; java.lang.Object; org.apache.commons.collections.BeanMap; getTypeTransformer[java.lang.Class]; org.apache.commons.collections.Transformer; null; defaultTransformers>
<java.io.PrintStream; println[java.lang.String]; void; org.apache.commons.collections.BeanMap; logInfo[java.lang.Exception]; void; null; System.out>
<java.io.PrintStream; println[java.lang.String]; void; org.apache.commons.collections.BeanMap; logWarn[java.lang.Exception]; void; null; System.out>
<java.lang.Throwable; printStackTrace[]; void; org.apache.commons.collections.BeanMap; logWarn[java.lang.Exception]; void; null; ex>
<org.apache.commons.collections.comparators.ComparableComparator; getInstance[]; org.apache.commons.collections.comparators.ComparableComparator; org.apache.commons.collections.ComparatorUtils; ComparatorUtils[]; void; null; ComparableComparator>
<org.apache.commons.collections.ComparatorUtils; chainedComparator[java.util.Comparator[]]; java.util.Comparator; org.apache.commons.collections.ComparatorUtils; chainedComparator[java.util.Comparator, java.util.Comparator]; java.util.Comparator; null; this>
<org.apache.commons.collections.comparators.ComparatorChain; addComparator[java.util.Comparator]; void; org.apache.commons.collections.ComparatorUtils; chainedComparator[java.util.Comparator[]]; java.util.Comparator; null; chain>
<org.apache.commons.collections.ComparatorUtils; chainedComparator[java.util.Comparator[]]; java.util.Comparator; org.apache.commons.collections.ComparatorUtils; chainedComparator[java.util.Collection]; java.util.Comparator; null; this>
<java.util.Collection; toArray[java.lang.Object[]]; java.lang.Object[]; org.apache.commons.collections.ComparatorUtils; chainedComparator[java.util.Collection]; java.util.Comparator; null; comparators>
<java.util.Collection; size[]; int; org.apache.commons.collections.ComparatorUtils; chainedComparator[java.util.Collection]; java.util.Comparator; null; comparators>
<org.apache.commons.collections.comparators.BooleanComparator; getBooleanComparator[boolean]; org.apache.commons.collections.comparators.BooleanComparator; org.apache.commons.collections.ComparatorUtils; booleanComparator[boolean]; java.util.Comparator; null; BooleanComparator>
<java.util.Comparator; compare[java.lang.Object, java.lang.Object]; int; org.apache.commons.collections.ComparatorUtils; min[java.lang.Object, java.lang.Object, java.util.Comparator]; java.lang.Object; null; comparator>
<java.util.Comparator; compare[java.lang.Object, java.lang.Object]; int; org.apache.commons.collections.ComparatorUtils; max[java.lang.Object, java.lang.Object, java.util.Comparator]; java.lang.Object; null; comparator>
<org.apache.commons.collections.functors.ConstantTransformer; getInstance[java.lang.Object]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; constantTransformer[java.lang.Object]; org.apache.commons.collections.Transformer; null; ConstantTransformer>
<org.apache.commons.collections.functors.ClosureTransformer; getInstance[org.apache.commons.collections.Closure]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; asTransformer[org.apache.commons.collections.Closure]; org.apache.commons.collections.Transformer; null; ClosureTransformer>
<org.apache.commons.collections.functors.PredicateTransformer; getInstance[org.apache.commons.collections.Predicate]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; asTransformer[org.apache.commons.collections.Predicate]; org.apache.commons.collections.Transformer; null; PredicateTransformer>
<org.apache.commons.collections.functors.FactoryTransformer; getInstance[org.apache.commons.collections.Factory]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; asTransformer[org.apache.commons.collections.Factory]; org.apache.commons.collections.Transformer; null; FactoryTransformer>
<org.apache.commons.collections.functors.ChainedTransformer; getInstance[org.apache.commons.collections.Transformer, org.apache.commons.collections.Transformer]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; chainedTransformer[org.apache.commons.collections.Transformer, org.apache.commons.collections.Transformer]; org.apache.commons.collections.Transformer; null; ChainedTransformer>
<org.apache.commons.collections.functors.ChainedTransformer; getInstance[org.apache.commons.collections.Transformer[]]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; chainedTransformer[org.apache.commons.collections.Transformer[]]; org.apache.commons.collections.Transformer; null; ChainedTransformer>
<org.apache.commons.collections.functors.ChainedTransformer; getInstance[java.util.Collection]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; chainedTransformer[java.util.Collection]; org.apache.commons.collections.Transformer; null; ChainedTransformer>
<org.apache.commons.collections.functors.SwitchTransformer; getInstance[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Transformer[], org.apache.commons.collections.Transformer]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; switchTransformer[org.apache.commons.collections.Predicate, org.apache.commons.collections.Transformer, org.apache.commons.collections.Transformer]; org.apache.commons.collections.Transformer; null; SwitchTransformer>
<org.apache.commons.collections.functors.SwitchTransformer; getInstance[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Transformer[], org.apache.commons.collections.Transformer]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; switchTransformer[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Transformer[]]; org.apache.commons.collections.Transformer; null; SwitchTransformer>
<org.apache.commons.collections.functors.SwitchTransformer; getInstance[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Transformer[], org.apache.commons.collections.Transformer]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; switchTransformer[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Transformer[], org.apache.commons.collections.Transformer]; org.apache.commons.collections.Transformer; null; SwitchTransformer>
<org.apache.commons.collections.functors.SwitchTransformer; getInstance[java.util.Map]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; switchTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; SwitchTransformer>
<java.util.Map; remove[java.lang.Object]; java.lang.Object; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; objectsAndTransformers>
<java.util.Map; size[]; int; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; objectsAndTransformers>
<java.util.Set; iterator[]; java.util.Iterator; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; objectsAndTransformers.entrySet()>
<java.util.Map; entrySet[]; java.util.Set; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; iterator[]; objectsAndTransformers>
<java.util.Iterator; hasNext[]; boolean; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; it>
<java.util.Iterator; next[]; java.lang.Object; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; it>
<org.apache.commons.collections.functors.EqualPredicate; getInstance[java.lang.Object]; org.apache.commons.collections.Predicate; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; EqualPredicate>
<java.util.Map$Entry; getKey[]; java.lang.Object; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; entry>
<java.util.Map$Entry; getValue[]; java.lang.Object; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; entry>
<org.apache.commons.collections.TransformerUtils; switchTransformer[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Transformer[], org.apache.commons.collections.Transformer]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; switchMapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; this>
<org.apache.commons.collections.functors.InstantiateTransformer; getInstance[java.lang.Class[], java.lang.Object[]]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; instantiateTransformer[java.lang.Class[], java.lang.Object[]]; org.apache.commons.collections.Transformer; null; InstantiateTransformer>
<org.apache.commons.collections.functors.MapTransformer; getInstance[java.util.Map]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; mapTransformer[java.util.Map]; org.apache.commons.collections.Transformer; null; MapTransformer>
<org.apache.commons.collections.functors.InvokerTransformer; getInstance[java.lang.String, java.lang.Class[], java.lang.Object[]]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; invokerTransformer[java.lang.String]; org.apache.commons.collections.Transformer; null; InvokerTransformer>
<org.apache.commons.collections.functors.InvokerTransformer; getInstance[java.lang.String, java.lang.Class[], java.lang.Object[]]; org.apache.commons.collections.Transformer; org.apache.commons.collections.TransformerUtils; invokerTransformer[java.lang.String, java.lang.Class[], java.lang.Object[]]; org.apache.commons.collections.Transformer; null; InvokerTransformer>
<org.apache.commons.collections.Closure; execute[java.lang.Object]; void; org.apache.commons.collections.functors.ClosureTransformer; transform[java.lang.Object]; java.lang.Object; null; iClosure>
<org.apache.commons.collections.functors.FunctorUtils; validate[org.apache.commons.collections.Closure[]]; void; org.apache.commons.collections.functors.ChainedClosure; getInstance[org.apache.commons.collections.Closure[]]; org.apache.commons.collections.Closure; null; FunctorUtils>
<org.apache.commons.collections.functors.FunctorUtils; copy[org.apache.commons.collections.Closure[]]; org.apache.commons.collections.Closure[]; org.apache.commons.collections.functors.ChainedClosure; getInstance[org.apache.commons.collections.Closure[]]; org.apache.commons.collections.Closure; null; FunctorUtils>
<java.util.Collection; size[]; int; org.apache.commons.collections.functors.ChainedClosure; getInstance[java.util.Collection]; org.apache.commons.collections.Closure; null; closures>
<java.util.Collection; size[]; int; org.apache.commons.collections.functors.ChainedClosure; getInstance[java.util.Collection]; org.apache.commons.collections.Closure; null; closures>
<java.util.Collection; iterator[]; java.util.Iterator; org.apache.commons.collections.functors.ChainedClosure; getInstance[java.util.Collection]; org.apache.commons.collections.Closure; null; closures>
<java.util.Iterator; hasNext[]; boolean; org.apache.commons.collections.functors.ChainedClosure; getInstance[java.util.Collection]; org.apache.commons.collections.Closure; null; it>
<java.util.Iterator; next[]; java.lang.Object; org.apache.commons.collections.functors.ChainedClosure; getInstance[java.util.Collection]; org.apache.commons.collections.Closure; null; it>
<org.apache.commons.collections.functors.FunctorUtils; validate[org.apache.commons.collections.Closure[]]; void; org.apache.commons.collections.functors.ChainedClosure; getInstance[java.util.Collection]; org.apache.commons.collections.Closure; null; FunctorUtils>
<org.apache.commons.collections.Closure; execute[java.lang.Object]; void; org.apache.commons.collections.functors.ChainedClosure; execute[java.lang.Object]; void; null; iClosures[i]>
<java.lang.String; valueOf[java.lang.Object]; java.lang.String; org.apache.commons.collections.functors.StringValueTransformer; transform[java.lang.Object]; java.lang.Object; null; String>
<org.apache.commons.collections.Predicate; evaluate[java.lang.Object]; boolean; org.apache.commons.collections.functors.AndPredicate; evaluate[java.lang.Object]; boolean; null; iPredicate1>
<org.apache.commons.collections.Predicate; evaluate[java.lang.Object]; boolean; org.apache.commons.collections.functors.AndPredicate; evaluate[java.lang.Object]; boolean; null; iPredicate2>
<org.apache.commons.collections.Predicate; evaluate[java.lang.Object]; boolean; org.apache.commons.collections.functors.NullIsTruePredicate; evaluate[java.lang.Object]; boolean; null; iPredicate>
<org.apache.commons.collections.functors.FunctorUtils; validate[org.apache.commons.collections.Predicate[]]; void; org.apache.commons.collections.functors.SwitchClosure; getInstance[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Closure[], org.apache.commons.collections.Closure]; org.apache.commons.collections.Closure; null; FunctorUtils>
<org.apache.commons.collections.functors.FunctorUtils; validate[org.apache.commons.collections.Closure[]]; void; org.apache.commons.collections.functors.SwitchClosure; getInstance[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Closure[], org.apache.commons.collections.Closure]; org.apache.commons.collections.Closure; null; FunctorUtils>
<org.apache.commons.collections.functors.FunctorUtils; copy[org.apache.commons.collections.Predicate[]]; org.apache.commons.collections.Predicate[]; org.apache.commons.collections.functors.SwitchClosure; getInstance[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Closure[], org.apache.commons.collections.Closure]; org.apache.commons.collections.Closure; null; FunctorUtils>
<org.apache.commons.collections.functors.FunctorUtils; copy[org.apache.commons.collections.Closure[]]; org.apache.commons.collections.Closure[]; org.apache.commons.collections.functors.SwitchClosure; getInstance[org.apache.commons.collections.Predicate[], org.apache.commons.collections.Closure[], org.apache.commons.collections.Closure]; org.apache.commons.collections.Closure; null; FunctorUtils>
<java.util.Map; size[]; int; org.apache.commons.collections.functors.SwitchClosure; getInstance[java.util.Map]; org.apache.commons.collections.Closure; null; predicatesAndClosures>
<java.util.Map; remove[java.lang.Object]; java.lang.Object; org.apache.commons.collections.functors.SwitchClosure; getInstance[java.util.Map]; org.apache.commons.collections.Closure; null; predicatesAndClosures>
<java.util.Map; size[]; int; org.apache.commons.collections.functors.SwitchClosure; getInstance[java.util.Map]; org.apache.commons.collections.Closure; null; predicatesAndClosures>
<java.util.Set; iterator[]; java.util.Iterator; org.apache.commons.collections.functors.SwitchClosure; getInstance[java.util.Map]; org.apache.commons.collections.Closure; null; predicatesAndClosures.entrySet()>
<java.util.Map; entrySet[]; java.util.Set; org.apache.commons.collections.functors.SwitchClosure; getInstance[java.util.Map]; org.apache.commons.collections.Closure; iterator[]; predicatesAndClosures>
