All Method Calls (2657)

<org.jgrapht.Graph; getEdgeFactory[]; org.jgrapht.EdgeFactory<V,E>; org.jgrapht.Graphs; addEdge[org.jgrapht.Graph<V,E>, V, V, double]; E; null; g>
<org.jgrapht.Graph; edgeSet[]; java.util.Set<E>; org.jgrapht.experimental.GraphTests; isComplete[org.jgrapht.Graph<V,E>]; boolean; size[]; g>
<java.util.Set; size[]; int; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; g.vertexSet()>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; size[]; g>
<java.util.Set; size[]; int; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; g.edgeSet()>
<org.jgrapht.Graph; edgeSet[]; java.util.Set<E>; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; size[]; g>
<java.util.Iterator; next[]; V; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; g.vertexSet().iterator()>
<java.util.Set; iterator[]; java.util.Iterator<V>; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; next[]; g.vertexSet()>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; iterator[]; g>
<java.util.LinkedList; add[V]; boolean; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.Set; add[V]; boolean; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; known>
<java.util.AbstractCollection; isEmpty[]; boolean; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.LinkedList; removeFirst[]; V; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.List; iterator[]; java.util.Iterator<V>; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; Graphs.neighborListOf(g,v)>
<org.jgrapht.Graphs; neighborListOf[org.jgrapht.Graph<V,E>, V]; java.util.List<V>; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; iterator[]; Graphs>
<java.util.Iterator; hasNext[]; boolean; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; it>
<java.util.Iterator; next[]; V; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; it>
<java.util.Set; contains[java.lang.Object]; boolean; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; known>
<java.util.Set; add[V]; boolean; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; known>
<java.util.LinkedList; add[V]; boolean; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.Set; size[]; int; org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; null; known>
<org.jgrapht.experimental.GraphTests; isConnected[org.jgrapht.Graph<V,E>]; boolean; org.jgrapht.experimental.GraphTests; isTree[org.jgrapht.Graph<V,E>]; boolean; null; this>
<java.util.Set; size[]; int; org.jgrapht.experimental.GraphTests; isTree[org.jgrapht.Graph<V,E>]; boolean; null; g.edgeSet()>
<org.jgrapht.Graph; edgeSet[]; java.util.Set<E>; org.jgrapht.experimental.GraphTests; isTree[org.jgrapht.Graph<V,E>]; boolean; size[]; g>
<java.util.Set; size[]; int; org.jgrapht.experimental.GraphTests; isTree[org.jgrapht.Graph<V,E>]; boolean; null; g.vertexSet()>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.experimental.GraphTests; isTree[org.jgrapht.Graph<V,E>]; boolean; size[]; g>
<java.util.Set; size[]; int; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; g.edgeSet()>
<org.jgrapht.Graph; edgeSet[]; java.util.Set<E>; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; size[]; g>
<java.util.Set; size[]; int; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; g.vertexSet()>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; size[]; g>
<java.util.Set; size[]; int; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; g.vertexSet()>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; size[]; g>
<org.jgrapht.experimental.GraphTests; isEmpty[org.jgrapht.Graph<V,E>]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; this>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; g>
<java.util.Iterator; next[]; V; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; unknown.iterator()>
<java.util.Set; iterator[]; java.util.Iterator<V>; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; next[]; unknown>
<java.util.LinkedList; add[V]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.Set; isEmpty[]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; unknown>
<java.util.AbstractCollection; isEmpty[]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.LinkedList; add[V]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.Iterator; next[]; V; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; unknown.iterator()>
<java.util.Set; iterator[]; java.util.Iterator<V>; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; next[]; unknown>
<java.util.LinkedList; removeFirst[]; V; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.Set; remove[java.lang.Object]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; unknown>
<java.util.List; iterator[]; java.util.Iterator<V>; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; Graphs.neighborListOf(g,v)>
<org.jgrapht.Graphs; neighborListOf[org.jgrapht.Graph<V,E>, V]; java.util.List<V>; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; iterator[]; Graphs>
<java.util.Iterator; hasNext[]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; it>
<java.util.Iterator; next[]; V; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; it>
<java.util.Set; contains[java.lang.Object]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; unknown>
<java.util.LinkedList; add[V]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; queue>
<java.util.Set; contains[java.lang.Object]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; odd>
<java.util.Set; add[V]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; odd>
<java.util.Set; contains[java.lang.Object]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; odd>
<java.util.Set; contains[java.lang.Object]; boolean; org.jgrapht.experimental.GraphTests; isBipartite[org.jgrapht.Graph<V,E>]; boolean; null; odd>
<org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; getInOutDegrees[org.jgrapht.Graph<V,E>, V]; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator<V,E>.InOutDegrees; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceCompare[V, V, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>]; boolean; null; this>
<org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; getInOutDegrees[org.jgrapht.Graph<V,E>, V]; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator<V,E>.InOutDegrees; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceCompare[V, V, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>]; boolean; null; this>
<org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator$InOutDegrees; equals[java.lang.Object]; boolean; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceCompare[V, V, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>]; boolean; null; inOut1>
<org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; getInOutDegrees[org.jgrapht.Graph<V,E>, V]; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator<V,E>.InOutDegrees; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceHashcode[V, org.jgrapht.Graph<V,E>]; int; null; this>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceHashcode[V, org.jgrapht.Graph<V,E>]; int; null; sb>
<java.lang.String; valueOf[int]; java.lang.String; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceHashcode[V, org.jgrapht.Graph<V,E>]; int; null; String>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceHashcode[V, org.jgrapht.Graph<V,E>]; int; null; sb>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceHashcode[V, org.jgrapht.Graph<V,E>]; int; null; sb>
<java.lang.String; valueOf[int]; java.lang.String; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceHashcode[V, org.jgrapht.Graph<V,E>]; int; null; String>
<java.lang.String; hashCode[]; int; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceHashcode[V, org.jgrapht.Graph<V,E>]; int; null; sb.toString()>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; equivalenceHashcode[V, org.jgrapht.Graph<V,E>]; int; hashCode[]; sb>
<org.jgrapht.UndirectedGraph; degreeOf[V]; int; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; getInOutDegrees[org.jgrapht.Graph<V,E>, V]; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator<V,E>.InOutDegrees; null; undirectedGraph>
<org.jgrapht.DirectedGraph; inDegreeOf[V]; int; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; getInOutDegrees[org.jgrapht.Graph<V,E>, V]; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator<V,E>.InOutDegrees; null; directedGraph>
<org.jgrapht.DirectedGraph; outDegreeOf[V]; int; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator; getInOutDegrees[org.jgrapht.Graph<V,E>, V]; org.jgrapht.experimental.isomorphism.VertexDegreeEquivalenceComparator<V,E>.InOutDegrees; null; directedGraph>
<org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; checkGraphsType[org.jgrapht.Graph, org.jgrapht.Graph]; int; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createIsomorphismInspector[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; this>
<org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createAppropriateConcreteInspector[int, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createIsomorphismInspector[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; this>
<org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createIsomorphismInspector[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createIsomorphismInspector[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; this>
<org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createAppropriateConcreteInspector[int, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createIsomorphismInspectorByType[int, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; this>
<org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createAppropriateConcreteInspector[int, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createIsomorphismInspectorByType[int, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; this>
<org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; assertUnsupportedGraphTypes[org.jgrapht.Graph]; void; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createAppropriateConcreteInspector[int, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; this>
<org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; assertUnsupportedGraphTypes[org.jgrapht.Graph]; void; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createAppropriateConcreteInspector[int, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; this>
<org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createTopologicalExhaustiveInspector[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createAppropriateConcreteInspector[int, org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; this>
<org.jgrapht.experimental.equivalence.EquivalenceComparatorChain; appendComparator[org.jgrapht.experimental.equivalence.EquivalenceComparator]; void; org.jgrapht.experimental.isomorphism.AdaptiveIsomorphismInspectorFactory; createTopologicalExhaustiveInspector[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super E,? super org.jgrapht.Graph<V,E>>]; org.jgrapht.experimental.isomorphism.GraphIsomorphismInspector; null; vertexChainedChecker>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.experimental.isomorphism.GraphOrdering; GraphOrdering[org.jgrapht.Graph<V,E>]; void; null; regularGraph>
<org.jgrapht.Graph; edgeSet[]; java.util.Set<E>; org.jgrapht.experimental.isomorphism.GraphOrdering; GraphOrdering[org.jgrapht.Graph<V,E>]; void; null; regularGraph>
<org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; org.jgrapht.experimental.isomorphism.GraphOrdering; GraphOrdering[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; this>
<java.util.Set; size[]; int; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; vertexSet>
<java.util.Map; put[V, java.lang.Integer]; java.lang.Integer; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; mapVertexToOrder>
<java.util.Set; size[]; int; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; edgeSet>
<org.jgrapht.Graph; getEdgeSource[E]; V; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; g>
<java.util.Map; get[java.lang.Object]; java.lang.Integer; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; mapVertexToOrder>
<java.lang.Integer; intValue[]; int; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; sourceOrder>
<java.lang.Integer; intValue[]; int; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; (mapVertexToOrder.get(g.getEdgeTarget(edge)))>
<java.util.Map; get[java.lang.Object]; java.lang.Integer; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; intValue[]; mapVertexToOrder>
<org.jgrapht.Graph; getEdgeTarget[E]; V; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; g>
<java.util.Set; add[org.jgrapht.experimental.isomorphism.GraphOrdering<V,E>.LabelsEdge]; boolean; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; this.labelsEdgesSet>
<java.util.Set; add[org.jgrapht.experimental.isomorphism.GraphOrdering<V,E>.LabelsEdge]; boolean; org.jgrapht.experimental.isomorphism.GraphOrdering; init[org.jgrapht.Graph<V,E>, java.util.Set<V>, java.util.Set<E>]; void; null; this.labelsEdgesSet>
<java.util.Set; equals[java.lang.Object]; boolean; org.jgrapht.experimental.isomorphism.GraphOrdering; equalsByEdgeOrder[org.jgrapht.experimental.isomorphism.GraphOrdering]; boolean; null; this.getLabelsEdgesSet()>
<org.jgrapht.experimental.isomorphism.GraphOrdering; getLabelsEdgesSet[]; java.util.Set<org.jgrapht.experimental.isomorphism.GraphOrdering<V,E>.LabelsEdge>; org.jgrapht.experimental.isomorphism.GraphOrdering; equalsByEdgeOrder[org.jgrapht.experimental.isomorphism.GraphOrdering]; boolean; equals[java.lang.Object]; this>
<org.jgrapht.experimental.isomorphism.GraphOrdering; getLabelsEdgesSet[]; java.util.Set; org.jgrapht.experimental.isomorphism.GraphOrdering; equalsByEdgeOrder[org.jgrapht.experimental.isomorphism.GraphOrdering]; boolean; null; otherGraph>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; sb>
<java.util.Map; size[]; int; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; this.mapVertexToOrder>
<java.util.Map; keySet[]; java.util.Set<V>; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; this.mapVertexToOrder>
<java.util.Map; get[java.lang.Object]; java.lang.Integer; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; this.mapVertexToOrder>
<java.lang.Integer; intValue[]; int; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; index>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; sb>
<java.util.Arrays; toString[java.lang.Object[]]; java.lang.String; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; Arrays>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; sb.append("labelsOrder=")>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; append[java.lang.String]; sb>
<java.lang.Object; toString[]; java.lang.String; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; this.labelsEdgesSet>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jgrapht.experimental.isomorphism.GraphOrdering; toString[]; java.lang.String; null; sb>
<java.lang.String; hashCode[]; int; org.jgrapht.experimental.isomorphism.GraphOrdering.LabelsEdge; LabelsEdge[int, int]; void; null; new String(this.source + "" + this.target)>
<java.util.Set; size[]; int; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; vertexSet1>
<java.util.Set; size[]; int; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; vertexSet2>
<org.jgrapht.experimental.equivalence.EquivalenceSetCreator; createEqualityGroupOrderedArray[java.util.Collection<V>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.Graph<V,E>]; org.jgrapht.experimental.equivalence.EquivalenceSet[]; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; EquivalenceSetCreator>
<org.jgrapht.experimental.equivalence.EquivalenceSetCreator; createEqualityGroupOrderedArray[java.util.Collection<V>, org.jgrapht.experimental.equivalence.EquivalenceComparator<? super V,? super org.jgrapht.Graph<V,E>>, org.jgrapht.Graph<V,E>]; org.jgrapht.experimental.equivalence.EquivalenceSet[]; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; EquivalenceSetCreator>
<org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; reorderTargetArrayToMatchSourceOrder[org.jgrapht.experimental.equivalence.EquivalenceSet[], org.jgrapht.experimental.equivalence.EquivalenceSet[]]; boolean; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; this>
<java.util.Set; size[]; int; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; vertexSet1>
<org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; fillElementsflatArray[org.jgrapht.experimental.equivalence.EquivalenceSet[], java.lang.Object[]]; void; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; this>
<java.util.Set; clear[]; void; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; vertexSet1>
<java.util.Set; addAll[java.util.Collection<? extends V>]; boolean; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; vertexSet1>
<java.util.Arrays; asList[V[]]; java.util.List<V>; org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector; createPermutationIterator[java.util.Set<V>, java.util.Set<V>]; org.jgrapht.experimental.permutation.CollectionPermutationIter<V>; null; Arrays>
