All Method Calls (14894)

<net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; setName[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_42[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_43[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_44[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_45[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_46[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_47[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_48[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_49[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_50[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.JavaParser; jj_3_51[]; boolean; net.sourceforge.pmd.ast.JavaParser; jj_rescan_token[]; void; null; this>
<net.sourceforge.pmd.ast.Token; newToken[int, java.lang.String]; net.sourceforge.pmd.ast.Token; net.sourceforge.pmd.ast.Token; newToken[int]; net.sourceforge.pmd.ast.Token; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTMemberValueArrayInitializer, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTMemberValueArrayInitializer; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTImplementsList, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTImplementsList; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTMemberValueArrayInitializer, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.SimpleNode; jjtGetNumChildren[]; int; net.sourceforge.pmd.ast.ASTFormalParameters; getParameterCount[]; int; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTFormalParameters, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTFormalParameters; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTForStatement, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTForStatement; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTFormalParameters, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTVariableInitializer, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTVariableInitializer; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTForStatement, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTReturnStatement, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTReturnStatement; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTVariableInitializer, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTMarkerAnnotation, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTMarkerAnnotation; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTReturnStatement, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTSwitchStatement, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTSwitchStatement; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTMarkerAnnotation, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTInclusiveOrExpression, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTInclusiveOrExpression; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTSwitchStatement, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTStatementExpressionList, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTStatementExpressionList; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTInclusiveOrExpression, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTNullLiteral, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTNullLiteral; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTStatementExpressionList, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTDefaultValue, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTDefaultValue; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTNullLiteral, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.ASTPrimarySuffix; isArguments[]; boolean; net.sourceforge.pmd.ast.ASTPrimarySuffix; getArgumentCount[]; int; null; this>
<net.sourceforge.pmd.ast.ASTArguments; getArgumentCount[]; int; net.sourceforge.pmd.ast.ASTPrimarySuffix; getArgumentCount[]; int; null; this.getFirstChildOfType(ASTArguments.class)>
<net.sourceforge.pmd.ast.SimpleNode; getFirstChildOfType[java.lang.Class<net.sourceforge.pmd.ast.ASTArguments>]; net.sourceforge.pmd.ast.ASTArguments; net.sourceforge.pmd.ast.ASTPrimarySuffix; getArgumentCount[]; int; getArgumentCount[]; this>
<net.sourceforge.pmd.ast.ASTPrimarySuffix; isArrayDereference[]; boolean; net.sourceforge.pmd.ast.ASTPrimarySuffix; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimarySuffix; dump[java.lang.String]; void; null; this>
<java.lang.String; length[]; int; net.sourceforge.pmd.ast.ASTPrimarySuffix; dump[java.lang.String]; void; null; out>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimarySuffix; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimarySuffix; dump[java.lang.String]; void; null; this>
<java.io.PrintStream; println[java.lang.String]; void; net.sourceforge.pmd.ast.ASTPrimarySuffix; dump[java.lang.String]; void; null; System.out>
<net.sourceforge.pmd.ast.SimpleNode; toString[java.lang.String]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimarySuffix; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; dumpChildren[java.lang.String]; void; net.sourceforge.pmd.ast.ASTPrimarySuffix; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTPrimarySuffix, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTPrimarySuffix; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTEnumDeclaration, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTEnumDeclaration; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTPrimarySuffix, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTRelationalExpression, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTRelationalExpression; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTEnumDeclaration, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTLabeledStatement, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTLabeledStatement; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTRelationalExpression, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTExclusiveOrExpression, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTExclusiveOrExpression; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTLabeledStatement, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTPreDecrementExpression, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTPreDecrementExpression; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTExclusiveOrExpression, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTRUNSIGNEDSHIFT, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTRUNSIGNEDSHIFT; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTPreDecrementExpression, java.lang.Object]; visitor>
<java.lang.String; equals[java.lang.Object]; boolean; net.sourceforge.pmd.ast.ASTPrimitiveType; isBoolean[]; boolean; null; getImage()>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimitiveType; isBoolean[]; boolean; equals[java.lang.Object]; this>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTPrimitiveType, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTPrimitiveType; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTTypeParameter, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTTypeParameter; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTPrimitiveType, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTBreakStatement, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTBreakStatement; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTTypeParameter, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTBlockStatement, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTBlockStatement; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTBreakStatement, java.lang.Object]; visitor>
<java.util.List; isEmpty[]; boolean; net.sourceforge.pmd.ast.ASTBlockStatement; isAllocation[]; boolean; null; findChildrenOfType(ASTAllocationExpression.class)>
<net.sourceforge.pmd.ast.SimpleNode; findChildrenOfType[java.lang.Class<net.sourceforge.pmd.ast.ASTAllocationExpression>]; java.util.List<net.sourceforge.pmd.ast.ASTAllocationExpression>; net.sourceforge.pmd.ast.ASTBlockStatement; isAllocation[]; boolean; isEmpty[]; this>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTContinueStatement, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTContinueStatement; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.Node; jjtGetNumChildren[]; int; net.sourceforge.pmd.ast.ASTMethodDeclarator; getParameterCount[]; int; null; this.jjtGetChild(0)>
<net.sourceforge.pmd.ast.SimpleNode; jjtGetChild[int]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.ASTMethodDeclarator; getParameterCount[]; int; jjtGetNumChildren[]; this>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTMethodDeclarator, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTMethodDeclarator; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTExtendsList, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTExtendsList; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTMethodDeclarator, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTForInit, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTForInit; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTExtendsList, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTAnnotationTypeBody, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTAnnotationTypeBody; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTForInit, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTTypeArguments, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTTypeArguments; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTAnnotationTypeBody, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTSingleMemberAnnotation, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTSingleMemberAnnotation; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTTypeArguments, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.SimpleJavaNode; childrenAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; null; node>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTExtendsList, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTClassOrInterfaceDeclaration, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTImplementsList, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTTypeParameters, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTMemberSelector, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTTypeParameter, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTTypeBound, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTClassOrInterfaceBody, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTEnumBody, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTEnumConstant, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTReferenceType, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTClassOrInterfaceType, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTTypeArguments, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTTypeArgument, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTWildcardBounds, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTAnnotation, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTNormalAnnotation, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTMarkerAnnotation, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTSingleMemberAnnotation, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTMemberValuePairs, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTMemberValuePair, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTMemberValue, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTMemberValueArrayInitializer, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTAnnotationTypeDeclaration, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTAnnotationTypeBody, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTAnnotationTypeMemberDeclaration, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTAnnotationMethodDeclaration, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTDefaultValue, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTRUNSIGNEDSHIFT, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTRSIGNEDSHIFT, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTCompilationUnit, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTEnumDeclaration, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTAssertStatement, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTPackageDeclaration, java.lang.Object]; java.lang.Object; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.ASTImportDeclaration, java.lang.Object]; java.lang.Object; null; this>
