All Method Calls (17933)

<java.awt.event.ActionEvent; getActionCommand[]; java.lang.String; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; evt>
<java.awt.Graphics; getFontMetrics[]; java.awt.FontMetrics; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.FontMetrics; charWidth[char]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<java.awt.FontMetrics; getHeight[]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<org.jext.JextTextArea; getTabSize[]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; textArea>
<java.awt.FontMetrics; charWidth[char]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<java.awt.FontMetrics; getDescent[]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<java.awt.FontMetrics; getLeading[]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<java.awt.Graphics; setColor[java.awt.Color]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; fillRect[int, int, int, int]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; setColor[java.awt.Color]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; drawString[java.lang.String, int, int]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; setColor[java.awt.Color]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; setFont[java.awt.Font]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.lang.String; valueOf[int]; java.lang.String; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; String>
<java.awt.Graphics; drawString[java.lang.String, int, int]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.FontMetrics; stringWidth[java.lang.String]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<java.awt.FontMetrics; charWidth[char]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<org.jext.print.PrintSyntax; paintSyntaxLine[org.jext.JextTextArea, java.awt.Graphics, javax.swing.text.TabExpander, org.gjt.sp.jedit.syntax.TokenMarker, org.gjt.sp.jedit.syntax.SyntaxStyle[], java.awt.FontMetrics, int, java.awt.Font, java.awt.Color, int, int]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; this>
<org.gjt.sp.jedit.textarea.JEditTextArea; getTokenMarker[]; org.gjt.sp.jedit.syntax.TokenMarker; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; textArea>
<java.awt.Graphics; setColor[java.awt.Color]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; setFont[java.awt.Font]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; fillRect[int, int, int, int]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; setColor[java.awt.Color]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.FontMetrics; getAscent[]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<java.awt.Graphics; drawString[java.lang.String, int, int]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<org.jext.Jext; getProperty[java.lang.String, java.lang.Object[]]; java.lang.String; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; Jext>
<java.awt.FontMetrics; stringWidth[java.lang.String]; int; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; fm>
<java.awt.Graphics; drawString[java.lang.String, int, int]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.Graphics; dispose[]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; gfx>
<java.awt.PrintJob; end[]; void; org.jext.print.PrintSyntax; print[org.jext.JextFrame, org.jext.JextTextArea]; void; null; job>
<java.awt.Graphics; setFont[java.awt.Font]; void; org.jext.print.PrintSyntax; paintSyntaxLine[org.jext.JextTextArea, java.awt.Graphics, javax.swing.text.TabExpander, org.gjt.sp.jedit.syntax.TokenMarker, org.gjt.sp.jedit.syntax.SyntaxStyle[], java.awt.FontMetrics, int, java.awt.Font, java.awt.Color, int, int]; int; null; gfx>
<java.awt.Graphics; setColor[java.awt.Color]; void; org.jext.print.PrintSyntax; paintSyntaxLine[org.jext.JextTextArea, java.awt.Graphics, javax.swing.text.TabExpander, org.gjt.sp.jedit.syntax.TokenMarker, org.gjt.sp.jedit.syntax.SyntaxStyle[], java.awt.FontMetrics, int, java.awt.Font, java.awt.Color, int, int]; int; null; gfx>
<org.gjt.sp.jedit.textarea.JEditTextArea; getLineText[int, javax.swing.text.Segment]; void; org.jext.print.PrintSyntax; paintSyntaxLine[org.jext.JextTextArea, java.awt.Graphics, javax.swing.text.TabExpander, org.gjt.sp.jedit.syntax.TokenMarker, org.gjt.sp.jedit.syntax.SyntaxStyle[], java.awt.FontMetrics, int, java.awt.Font, java.awt.Color, int, int]; int; null; textArea>
<org.gjt.sp.jedit.syntax.SyntaxUtilities; paintSyntaxLine[javax.swing.text.Segment, org.gjt.sp.jedit.syntax.Token, org.gjt.sp.jedit.syntax.SyntaxStyle[], javax.swing.text.TabExpander, java.awt.Graphics, int, int]; int; org.jext.print.PrintSyntax; paintSyntaxLine[org.jext.JextTextArea, java.awt.Graphics, javax.swing.text.TabExpander, org.gjt.sp.jedit.syntax.TokenMarker, org.gjt.sp.jedit.syntax.SyntaxStyle[], java.awt.FontMetrics, int, java.awt.Font, java.awt.Color, int, int]; int; null; SyntaxUtilities>
<org.gjt.sp.jedit.syntax.TokenMarker; markTokens[javax.swing.text.Segment, int]; org.gjt.sp.jedit.syntax.Token; org.jext.print.PrintSyntax; paintSyntaxLine[org.jext.JextTextArea, java.awt.Graphics, javax.swing.text.TabExpander, org.gjt.sp.jedit.syntax.TokenMarker, org.gjt.sp.jedit.syntax.SyntaxStyle[], java.awt.FontMetrics, int, java.awt.Font, java.awt.Color, int, int]; int; null; tokenMarker>
<javax.swing.text.PlainDocument; getDefaultRootElement[]; javax.swing.text.Element; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; document>
<javax.swing.text.Element; getElementCount[]; int; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; root>
<javax.swing.text.Element; getElement[int]; javax.swing.text.Element; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; root>
<javax.swing.text.AbstractDocument; getText[int, int, javax.swing.text.Segment]; void; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; document>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; lineElement>
<javax.swing.text.Element; getEndOffset[]; int; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; lineElement>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; lineElement>
<javax.swing.text.Segment; toString[]; java.lang.String; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; segment>
<org.jext.print.PrintText; printTextArray[]; void; org.jext.print.PrintText; PrintText[javax.swing.text.PlainDocument, java.lang.String, org.jext.print.PrintingOptions, boolean, int]; void; null; this>
<org.jext.print.PrintText; printTextArray[]; void; org.jext.print.PrintText; PrintText[java.lang.String[]]; void; null; this>
<org.jext.print.PrintText; printTextArray[]; void; org.jext.print.PrintText; PrintText[java.lang.String[], java.awt.Font]; void; null; this>
<org.jext.print.PrintingOptions; getPageFormat[]; java.awt.print.PageFormat; org.jext.print.PrintText; printTextArray[]; void; null; printOptions_>
<org.jext.print.PrintingOptions; getPageFont[]; java.awt.Font; org.jext.print.PrintText; printTextArray[]; void; null; printOptions_>
<java.awt.print.PrinterJob; getPrinterJob[]; java.awt.print.PrinterJob; org.jext.print.PrintText; printTextArray[]; void; null; PrinterJob>
<org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; org.jext.print.PrintText; printTextArray[]; void; null; this>
<org.jext.print.PrintingOptions; getPrintLineNumbers[]; boolean; org.jext.print.PrintText; printTextArray[]; void; null; printOptions_>
<org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; org.jext.print.PrintText; printTextArray[]; void; null; this>
<org.jext.print.PrintingOptions; getWrapText[]; boolean; org.jext.print.PrintText; printTextArray[]; void; null; printOptions_>
<org.jext.print.PrintText; wrapText[]; java.lang.String[]; org.jext.print.PrintText; printTextArray[]; void; null; this>
<org.jext.print.PrintText; pageinateText[]; java.awt.print.Book; org.jext.print.PrintText; printTextArray[]; void; null; this>
<java.awt.print.PrinterJob; setPageable[java.awt.print.Pageable]; void; org.jext.print.PrintText; printTextArray[]; void; null; job>
<java.awt.print.PrinterJob; printDialog[]; boolean; org.jext.print.PrintText; printTextArray[]; void; null; job>
<java.awt.print.PrinterJob; print[]; void; org.jext.print.PrintText; printTextArray[]; void; null; job>
<javax.swing.JOptionPane; showMessageDialog[java.awt.Component, java.lang.Object, java.lang.String, int]; void; org.jext.print.PrintText; printTextArray[]; void; null; JOptionPane>
<javax.swing.JOptionPane; showMessageDialog[java.awt.Component, java.lang.Object, java.lang.String, int]; void; org.jext.print.PrintText; printTextArray[]; void; null; JOptionPane>
<java.lang.String; length[]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; length[]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; length[]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; length[]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; length[]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; compareTo[java.lang.String]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp1>
<java.lang.String; compareTo[java.lang.String]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp1>
<java.lang.String; compareTo[java.lang.String]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp2>
<java.lang.String; compareTo[java.lang.String]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp2>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; length[]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; text_[i]>
<java.lang.String; length[]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp3>
<java.lang.String; equals[java.lang.Object]; boolean; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; "\t">
<java.lang.String; substring[int, int]; java.lang.String; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp3>
<java.lang.StringBuffer; length[]; int; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp4>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp4>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp4>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp3>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.print.PrintText; removeEOLChar[]; java.lang.String[]; null; temp4>
<java.lang.Integer; toString[]; java.lang.String; org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; null; lines>
<java.lang.String; length[]; int; org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; null; temp>
<java.lang.StringBuffer; append[int]; java.lang.StringBuffer; org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; null; num>
<java.lang.StringBuffer; length[]; int; org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; null; num>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; null; lineNum>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; null; lineNum>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; null; num>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.print.PrintText; addLineNumbers[]; java.lang.String[]; null; lineNum>
<org.jext.print.PrintingOptions; getPageFormat[]; java.awt.print.PageFormat; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; printOptions_>
<org.jext.print.PrintingOptions; getPageFont[]; java.awt.Font; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; printOptions_>
<java.awt.print.PageFormat; getImageableWidth[]; double; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; pgfmt>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; wrapSpaces>
<java.awt.geom.RectangularShape; getWidth[]; double; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; pageFont.getStringBounds(currentLine,new FontRenderContext(pageFont.getTransform(),false,false))>
<java.awt.Font; getStringBounds[java.lang.String, java.awt.font.FontRenderContext]; java.awt.geom.Rectangle2D; org.jext.print.PrintText; wrapText[]; java.lang.String[]; getWidth[]; pageFont>
<java.awt.Font; getTransform[]; java.awt.geom.AffineTransform; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; pageFont>
<java.lang.String; length[]; int; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; currentLine>
<java.awt.geom.RectangularShape; getWidth[]; double; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; pageFont.getStringBounds(currentLine,new FontRenderContext(pageFont.getTransform(),false,false))>
<java.awt.Font; getStringBounds[java.lang.String, java.awt.font.FontRenderContext]; java.awt.geom.Rectangle2D; org.jext.print.PrintText; wrapText[]; java.lang.String[]; getWidth[]; pageFont>
<java.awt.Font; getTransform[]; java.awt.geom.AffineTransform; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; pageFont>
<java.util.Vector; add[java.lang.Object]; boolean; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; temp>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; currentLine>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; wrapSpaces>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; currentLine>
<java.lang.String; length[]; int; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; currentLine>
<java.util.Vector; add[java.lang.Object]; boolean; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; temp>
<java.util.Vector; size[]; int; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; temp>
<java.util.Vector; get[int]; java.lang.Object; org.jext.print.PrintText; wrapText[]; java.lang.String[]; null; temp>
<org.jext.print.PrintingOptions; getPageFormat[]; java.awt.print.PageFormat; org.jext.print.PrintText; pageinateText[]; java.awt.print.Book; null; printOptions_>
<org.jext.print.PrintingOptions; getPageFont[]; java.awt.Font; org.jext.print.PrintText; pageinateText[]; java.awt.print.Book; null; printOptions_>
<java.awt.print.PageFormat; getImageableHeight[]; double; org.jext.print.PrintText; pageinateText[]; java.awt.print.Book; null; pgfmt>
<java.awt.Font; getSize[]; int; org.jext.print.PrintText; pageinateText[]; java.awt.print.Book; null; pageFont>
<org.jext.print.PrintText; convertUnprintables[]; void; org.jext.print.PrintText; pageinateText[]; java.awt.print.Book; null; this>
<org.jext.print.PrintingOptions; getPrintHeader[]; boolean; org.jext.print.PrintText; pageinateText[]; java.awt.print.Book; null; printOptions_>
<java.awt.print.Book; append[java.awt.print.Printable, java.awt.print.PageFormat]; void; org.jext.print.PrintText; pageinateText[]; java.awt.print.Book; null; book>
<java.lang.String; equals[java.lang.Object]; boolean; org.jext.print.PrintText; convertUnprintables[]; void; null; "">
<java.awt.print.PageFormat; getImageableWidth[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<org.jext.print.PrintingOptions; getPageFont[]; java.awt.Font; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; printOptions_>
<org.jext.print.PrintingOptions; getPrintHeader[]; boolean; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; printOptions_>
<java.util.Calendar; getInstance[]; java.util.Calendar; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; Calendar>
<java.lang.StringBuffer; append[int]; java.lang.StringBuffer; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; header>
<java.util.Calendar; get[int]; int; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; date>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; header>
<java.lang.StringBuffer; append[int]; java.lang.StringBuffer; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; header>
<java.util.Calendar; get[int]; int; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; date>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; header>
<java.lang.StringBuffer; append[int]; java.lang.StringBuffer; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; header>
<java.util.Calendar; get[int]; int; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; date>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageNumText>
<java.lang.StringBuffer; append[int]; java.lang.StringBuffer; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageNumText>
<java.awt.print.PageFormat; getWidth[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<java.awt.print.PageFormat; getImageableWidth[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<java.awt.Graphics; setFont[java.awt.Font]; void; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics>
<org.jext.print.PrintingOptions; getHeaderFont[]; java.awt.Font; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; printOptions_>
<java.awt.Graphics; setColor[java.awt.Color]; void; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics>
<java.awt.print.PageFormat; getImageableY[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<java.awt.Font; getSize[]; int; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; printOptions_.getHeaderFont()>
<org.jext.print.PrintingOptions; getHeaderFont[]; java.awt.Font; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; getSize[]; printOptions_>
<java.awt.Graphics; drawString[java.lang.String, int, int]; void; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; header>
<java.awt.print.PageFormat; getImageableX[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<java.awt.print.PageFormat; getWidth[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<java.awt.FontMetrics; stringWidth[java.lang.String]; int; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics.getFontMetrics()>
<java.awt.Graphics; getFontMetrics[]; java.awt.FontMetrics; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; stringWidth[java.lang.String]; graphics>
<java.awt.Graphics; drawString[java.lang.String, int, int]; void; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics>
<java.awt.print.PageFormat; getWidth[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<java.awt.FontMetrics; stringWidth[java.lang.String]; int; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics.getFontMetrics()>
<java.awt.Graphics; getFontMetrics[]; java.awt.FontMetrics; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; stringWidth[java.lang.String]; graphics>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageNumText>
<java.awt.Graphics; drawString[java.lang.String, int, int]; void; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageNumText>
<java.awt.Graphics; setFont[java.awt.Font]; void; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics>
<java.awt.Graphics; setColor[java.awt.Color]; void; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics>
<java.awt.print.PageFormat; getImageableY[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<java.awt.Font; getSize[]; int; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFont>
<java.awt.Graphics; drawString[java.lang.String, int, int]; void; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; graphics>
<java.awt.print.PageFormat; getImageableX[]; double; org.jext.print.PrintText.Page; print[java.awt.Graphics, java.awt.print.PageFormat, int]; int; null; pageFormat>
<java.awt.Font; getName[]; java.lang.String; org.jext.print.PrintingOptions; PrintingOptions[boolean, boolean, boolean, boolean, java.awt.Font, java.awt.print.PageFormat]; void; null; pageFont_>
<java.awt.Font; getSize[]; int; org.jext.print.PrintingOptions; PrintingOptions[boolean, boolean, boolean, boolean, java.awt.Font, java.awt.print.PageFormat]; void; null; pageFont_>
<java.awt.Font; getName[]; java.lang.String; org.jext.print.PrintingOptions; setPageFont[java.awt.Font]; void; null; pageFont_>
<java.awt.Font; getSize[]; int; org.jext.print.PrintingOptions; setPageFont[java.awt.Font]; void; null; pageFont_>
<java.net.URL; getFile[]; java.lang.String; org.jext.protocol.jextresource.PluginResURLConnection; PluginResURLConnection[java.net.URL]; void; null; url>
<java.lang.String; indexOf[int, int]; int; org.jext.protocol.jextresource.PluginResURLConnection; PluginResURLConnection[java.net.URL]; void; null; file>
<java.lang.String; charAt[int]; char; org.jext.protocol.jextresource.PluginResURLConnection; PluginResURLConnection[java.net.URL]; void; null; file>
<java.lang.Integer; parseInt[java.lang.String]; int; org.jext.protocol.jextresource.PluginResURLConnection; PluginResURLConnection[java.net.URL]; void; null; Integer>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.protocol.jextresource.PluginResURLConnection; PluginResURLConnection[java.net.URL]; void; null; file>
<org.jext.JARClassLoader; getResourceAsStream[java.lang.String]; java.io.InputStream; org.jext.protocol.jextresource.PluginResURLConnection; PluginResURLConnection[java.net.URL]; void; null; JARClassLoader.getClassLoader(pluginIndex)>
<org.jext.JARClassLoader; getClassLoader[int]; org.jext.JARClassLoader; org.jext.protocol.jextresource.PluginResURLConnection; PluginResURLConnection[java.net.URL]; void; getResourceAsStream[java.lang.String]; JARClassLoader>
<java.lang.String; substring[int]; java.lang.String; org.jext.protocol.jextresource.PluginResURLConnection; PluginResURLConnection[java.net.URL]; void; null; file>
<java.lang.String; equals[java.lang.Object]; boolean; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; null; name>
<java.lang.String; toLowerCase[]; java.lang.String; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; null; getURL().getFile()>
<java.net.URL; getFile[]; java.lang.String; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; toLowerCase[]; getURL()>
<java.net.URLConnection; getURL[]; java.net.URL; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; getFile[]; this>
<java.lang.String; endsWith[java.lang.String]; boolean; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; null; filename>
<java.lang.String; endsWith[java.lang.String]; boolean; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; null; filename>
<java.lang.String; endsWith[java.lang.String]; boolean; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; null; filename>
<java.lang.String; endsWith[java.lang.String]; boolean; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; null; filename>
<java.lang.String; endsWith[java.lang.String]; boolean; org.jext.protocol.jextresource.PluginResURLConnection; getHeaderField[java.lang.String]; java.lang.String; null; filename>
